wav/0001.wav|حفاظت کے لیے، براہِ کرم اپنے شناختی کارڈ کے آخری چھ ہندسے اب اپنے کی پیڈ پر درج کریں۔
wav/0002.wav|براہِ کرم اپنے کارڈ کے آخری چار ہندسے اب اپنے کی پیڈ پر درج کریں، انہیں بول کر نہ بتائیں۔
wav/0003.wav|براہِ کرم اپنی تاریخِ پیدائش سال، مہینہ، دن کی ترتیب میں اپنے کی پیڈ پر درج کریں۔
wav/0004.wav|میرے کارڈ پر ایک فراڈ ٹرانزیکشن ہے، براہِ کرم اسے بلاک کر دیں۔
wav/0005.wav|میرے کریڈٹ کارڈ پر کتنی رقم واجب الادا ہے؟
wav/0006.wav|مجھے نئی چیک بک چاہیے، براہِ کرم میرے رجسٹرڈ پتے پر بھیج دیں۔
wav/0007.wav|میرا کارڈ گم ہو گیا ہے، اسے فوراً بلاک کر دیں۔
wav/0008.wav|میں آپ سے آپ کا پن، سی وی وی، او ٹی پی یا پاس ورڈ کبھی نہیں پوچھوں گی۔
wav/0009.wav|آپ کا کارڈ بلاک کر دیا گیا ہے اور آپ کے موبائل نمبر پر ایس ایم ایس بھیج دیا گیا ہے۔
wav/0010.wav|آپ کے اکاؤنٹ کا بیلنس پچاس ہزار روپے ہے۔
wav/0011.wav|آپ کے کریڈٹ کارڈ کی لمٹ پانچ لاکھ روپے ہے اور دستیاب رقم چودہ ہزار روپے ہے۔
wav/0012.wav|آپ کی کمپلینٹ رجسٹرڈ ہو گئی ہے، ریفرنس نمبر نوٹ کر لیں۔
wav/0013.wav|آپ کی ٹرانسفر کی ریکوئسٹ پراسیس ہو رہی ہے۔
wav/0014.wav|براہِ کرم ایچ بی ایل موبائل ایپ کھولیں اور آن لائن اسٹیٹمنٹ دیکھیں۔
wav/0015.wav|آپ کا اے ٹی ایم کارڈ ایکسپائر ہو چکا ہے، نیا کارڈ برانچ سے وصول کریں۔
wav/0016.wav|آپ کے کارڈ کی تفصیل اسکرین پر موجود ہے۔
wav/0017.wav|آپ کے اکاؤنٹ کی تفصیل اسکرین پر موجود ہے۔
wav/0018.wav|آپ کے بیلنس کی تفصیل اسکرین پر موجود ہے۔
wav/0019.wav|آپ کے اسٹیٹمنٹ کی تفصیل اسکرین پر موجود ہے۔
wav/0020.wav|آپ کے ٹرانزیکشن کی تفصیل اسکرین پر موجود ہے۔
wav/0021.wav|آپ کے لمٹ کی تفصیل اسکرین پر موجود ہے۔
wav/0022.wav|براہِ کرم اپنا پن کسی کے ساتھ شیئر نہ کریں۔
wav/0023.wav|براہِ کرم اپنا او ٹی پی کسی کے ساتھ شیئر نہ کریں۔
wav/0024.wav|براہِ کرم اپنا سی وی وی کسی کے ساتھ شیئر نہ کریں۔
wav/0025.wav|براہِ کرم اپنا پاس ورڈ کسی کے ساتھ شیئر نہ کریں۔
wav/0026.wav|براہِ کرم اپنا کوڈ کسی کے ساتھ شیئر نہ کریں۔
wav/0027.wav|میں آپ کے اکاؤنٹ کی جانچ کر رہی ہوں، براہِ کرم انتظار کریں۔
wav/0028.wav|میں آپ کے کارڈ کی جانچ کر رہی ہوں، براہِ کرم انتظار کریں۔
wav/0029.wav|میں آپ کے ٹرانزیکشن کی جانچ کر رہی ہوں، براہِ کرم انتظار کریں۔
wav/0030.wav|میں آپ کے بیلنس کی جانچ کر رہی ہوں، براہِ کرم انتظار کریں۔
wav/0031.wav|میں آپ کے سٹیٹس کی جانچ کر رہی ہوں، براہِ کرم انتظار کریں۔
wav/0032.wav|میں آپ کے اسٹیٹمنٹ کی جانچ کر رہی ہوں، براہِ کرم انتظار کریں۔
wav/0033.wav|آپ کا موبائل کامیابی سے اپڈیٹ ہو گیا ہے۔
wav/0034.wav|آپ کا ای میل کامیابی سے اپڈیٹ ہو گیا ہے۔
wav/0035.wav|آپ کا پن کامیابی سے اپڈیٹ ہو گیا ہے۔
wav/0036.wav|آپ کا پاس ورڈ کامیابی سے اپڈیٹ ہو گیا ہے۔
wav/0037.wav|آپ کے کارڈ پر کوئی مشکوک سرگرمی نظر نہیں آئی۔
wav/0038.wav|آپ کے اکاؤنٹ پر کوئی مشکوک سرگرمی نظر نہیں آئی۔
wav/0039.wav|آپ کے والیٹ پر کوئی مشکوک سرگرمی نظر نہیں آئی۔
wav/0040.wav|آپ کا کارڈ بلاک کر دیا گیا ہے اور نیا جاری کر دیا گیا ہے۔
wav/0041.wav|آپ کا اے ٹی ایم بلاک کر دیا گیا ہے اور نیا جاری کر دیا گیا ہے۔
wav/0042.wav|آپ ایپ کے ذریعے بھی یہ کام کر سکتے ہیں۔
wav/0043.wav|آپ آن لائن کے ذریعے بھی یہ کام کر سکتے ہیں۔
wav/0044.wav|آپ انٹرنیٹ کے ذریعے بھی یہ کام کر سکتے ہیں۔
wav/0045.wav|آپ ایس ایم ایس کے ذریعے بھی یہ کام کر سکتے ہیں۔
wav/0046.wav|آپ اے ٹی ایم کے ذریعے بھی یہ کام کر سکتے ہیں۔
